lunm= 2337000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=89, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1770500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=89, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=89, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 637500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=89, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 71000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=89, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 14350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=88, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 8685000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882611000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=87, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=87, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2453500000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612100000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=86, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1887000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612200000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=86, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1320500000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612300000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=86, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 754000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612400000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=86, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612500000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=86, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 130850000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612510000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=85, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 74200000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612520000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=85, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 17550000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612530000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=85, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 11885000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612531000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=84, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 6220000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612532000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=84, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 555000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=84, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 498350000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533010000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 441700000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533020000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 385050000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533030000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 328400000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533040000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 271750000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533050000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 215100000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533060000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 158450000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533070000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 101800000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533080000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 45150000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533090000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=82, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 39485000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533091000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=81, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 33820000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533092000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=81, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 28155000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533093000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=81, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 22490000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533094000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=81, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 16825000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533095000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=81, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 11160000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533096000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=81, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 5495000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=81, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 4928500000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097100000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 4362000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097200000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3795500000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097300000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3229000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097400000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2662500000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097500000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2096000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097600000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1529500000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097700000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 963000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097800000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 396500000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097900000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=80, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 339850000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097910000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=79, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 283200000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097920000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=79, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 226550000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097930000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=79, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 169900000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097940000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=79, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 113250000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097950000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=79, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 56600000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097960000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=79, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 50935000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097961000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 45270000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097962000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 39605000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097963000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 33940000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097964000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 28275000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097965000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 22610000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097966000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 16945000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097967000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 11280000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097968000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 5615000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=78, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 5048500000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969100000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 4482000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969200000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3915500000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969300000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3349000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969400000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2782500000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969500000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2216000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969600000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1649500000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969700000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1083000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969800000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 516500000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969900000000000000000000000000000000000000000000000000000000000000000000000000000, pox=77, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 459850000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969910000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 403200000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969920000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 346550000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969930000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 289900000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969940000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 233250000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969950000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 176600000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969960000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 119950000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969970000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 63300000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969980000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 6650000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969990000000000000000000000000000000000000000000000000000000000000000000000000000, pox=76, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 985000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991000000000000000000000000000000000000000000000000000000000000000000000000000, pox=75, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 418500000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991100000000000000000000000000000000000000000000000000000000000000000000000000, pox=74, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 361850000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991110000000000000000000000000000000000000000000000000000000000000000000000000, pox=73, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 305200000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991120000000000000000000000000000000000000000000000000000000000000000000000000, pox=73, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 248550000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991130000000000000000000000000000000000000000000000000000000000000000000000000, pox=73, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 191900000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991140000000000000000000000000000000000000000000000000000000000000000000000000, pox=73, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 135250000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991150000000000000000000000000000000000000000000000000000000000000000000000000, pox=73, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 78600000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882612533097969991160000000000000000000000000000000000000000000000000000000000000000000000000, pox=73, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000.0000
